cluster_id,class_auto,subtype_auto,neuropeptide_auto,top_enriched_genes,top_regions,top_dissections
0,BCELL,,,"IGHM, MS4A1, FCRL1, AC244205.1, IGLL5, IGHA1, BLK, IGLC3, IGLC2, IKZF3","Midbrain: 21.0%, Basal forebrain: 19.0%, Pons: 14.3%","Human GPi: 11.4%, Human SN: 11.4%, Human SN-RN: 4.8%"
1,TCELL,,,"CD2, IL7R, PTPRC, SLFN12L, IL32, CCL5, GRAP2, RUNX3, CD69, CD3E","Midbrain: 15.0%, Basal forebrain: 14.0%, Pons: 13.2%","Human SpC: 8.2%, Human CbDN: 7.6%, Human SN: 7.4%"
2,NK,,,"NKG7, GNLY, PRF1, KLRF1, PYHIN1, CCL4, RUNX3, CST7, GZMA, GZMB","Thalamus: 17.6%, Cerebral cortex: 15.5%, Basal forebrain: 14.8%","Human GPe: 5.7%, Human GPi: 5.5%, Human CbDN: 5.1%"
3,MONO,,NAMPT,"FCN1, CLEC12A, S100A4, TNFRSF1B, IFI30, LYZ, CYTIP, FGR, LILRB2, KYNU","Thalamus: 21.9%, Pons: 16.1%, Basal forebrain: 13.9%","Human PnEN: 8.9%, Human MoAN: 6.6%, Human PnRF: 3.8%"
4,MGL,,NAMPT,"SRGN, RGS1, GPR183, CD69, HLA-DRA, OLR1, TNFRSF1B, IFI30, CXCR4, CD74","Spinal cord: 31.8%, Pons: 26.0%, Medulla: 13.2%","Human SpC: 31.8%, Human MN: 11.5%, Human PnEN: 11.4%"
5,MGL,,,"HLA-DRA, TTR, CD74, HLA-DRB1, SRGN, RGS1, HLA-DPA1, MS4A6A, HLA-DQA1, HLA-DRB5","Hippocampus: 40.4%, Medulla: 29.6%, Basal forebrain: 20.1%","Human MoAN: 26.6%, Human DGR-CA4Rpy: 25.2%, Human SEP: 18.8%"
6,MGL,,,"LNCAROD, ITGAX, CD74, LINC00278, FYB1, APBB1IP, CD84, PIK3R5, HLA-DRA, C1QC","Hippocampus: 25.1%, Basal forebrain: 15.2%, Thalamus: 11.0%","Human CA1: 7.0%, Human GPi: 6.9%, Human CA4C-DGC: 6.5%"
7,MGL,,,"CD74, CX3CR1, APBB1IP, HLA-DRA, LNCAROD, C3, ITGAX, FYB1, DOCK8, PTPRC","Basal forebrain: 32.0%, Midbrain: 19.4%, Pons: 12.5%","Human GPi: 20.8%, Human SN: 10.3%, Human GPe: 9.1%"
8,MGL,,IGF,"CCDC26, LNCAROD, FYB1, CSF1R, APBB1IP, CX3CR1, SYK, AL392172.1, DOCK8, C3","Hippocampus: 19.2%, Midbrain: 18.4%, Basal forebrain: 11.1%","Human SN: 8.2%, Human CBV: 4.6%, Human CA4C-DGC: 4.6%"
9,MGL,,IGF,"AIF1, HLA-DRA, CD74, C1QC, C1QB, CX3CR1, TYROBP, CSF1R, C3, APBB1IP","Cerebral cortex: 27.2%, Midbrain: 16.6%, Hippocampus: 15.0%","Human SN-RN: 8.1%, Human GPi: 5.5%, Human SN: 5.4%"
10,MGL,,IGF,"LNCAROD, APBB1IP, CX3CR1, FYB1, CSF1R, CD74, DOCK8, C3, SYK, PTPRC","Basal forebrain: 27.7%, Midbrain: 22.1%, Cerebral cortex: 10.3%","Human GPi: 17.4%, Human SN: 9.3%, Human GPe: 7.9%"
11,MGL,,IGF,"CSF1R, CX3CR1, APBB1IP, FYB1, AL392172.1, LINC00996, LNCAROD, SYK, DOCK8, C3","Cerebral cortex: 37.4%, Hippocampus: 24.2%, Thalamus: 11.1%","Human DGR-CA4Rpy: 6.3%, Human MTG: 5.7%, Human DGU-CA4Upy: 5.7%"
12,MAC,,IGF,"MRC1, CD163, STAB1, MS4A6A, MS4A4A, F13A1, SIGLEC1, MS4A4E, FCGR2C, LILRB5","Basal forebrain: 29.4%, Cerebral cortex: 14.0%, Cerebellum: 12.2%","Human GPi: 11.5%, Human CbDN: 9.7%, Human SEP: 9.2%"
13,CHRP ENDO,,NAMPT NUCB,"FLT1, VWF, PLVAP, KDR, CFH, SERPINH1, CLEC1A, PKHD1L1, ANO2, TGM2","Basal forebrain: 74.0%, Medulla: 23.3%, Hippocampus: 1.4%","Human SEP: 74.0%, Human MoSR: 11.0%, Human MoAN: 8.2%"
14,ENDO,ARTERIOLE CAP,EDN NAMPT,"CLDN5, FLT1, ABCG2, MECOM, CD34, SMAD6, SOX18, EPAS1, SEMA3G, HLA-E","Hippocampus: 23.8%, Cerebral cortex: 23.3%, Thalamus: 10.3%","Human A35r: 14.0%, Human CA1: 8.7%, Human CBV: 5.5%"
15,ENDO,CAP,EDN NAMPT NUCB,"CLDN5, ABCG2, FLT1, MECOM, IFI27, TM4SF18, HLA-E, CAVIN2, FLI1, SLC38A5","Cerebral cortex: 23.2%, Hippocampus: 15.7%, Thalamus: 15.3%","Human A35r: 8.6%, Human CBV: 6.6%, Human CA1: 4.8%"
16,ENDO,CAP,NAMPT NUCB,"CLDN5, MECOM, VWF, FLT1, ABCG2, FLI1, NOSTRIN, LINC02147, TGM2, CFH","Cerebral cortex: 25.5%, Hippocampus: 17.8%, Midbrain: 8.4%","Human A35r: 14.8%, Human CA1: 5.6%, Human SpC: 4.1%"
17,ENDO,VENOUS,EDN NAMPT NUCB UBL,"IL1R1, VCAM1, CLDN5, VWF, CLEC2B, ICAM1, SERPINE1, ZFP36, PLA1A, MECOM","Hypothalamus: 26.7%, Medulla: 21.8%, Pons: 15.8%","Human MN: 13.9%, Human IO: 9.9%, Human HTHso: 8.9%"
18,ENDO,ARTERIOLE ARTERY,NAMPT NUCB,"MECOM, CLDN5, MGP, FLT1, HLA-E, TM4SF1, SMAD6, EPAS1, KLF2, CXCL2","Cerebral cortex: 23.3%, Medulla: 16.4%, Thalamus: 14.6%","Human A35r: 10.4%, Human IO: 7.3%, Human MN: 6.9%"
19,ENDO VSMC,FIBMYO,IGF NAMPT NUCB UBL,"MYL9, CARMN, CCL19, IFITM2, FHL5, ADIRF, CLDN5, IFITM3, NOTCH3, CFH","Thalamus: 28.4%, Midbrain: 12.2%, Medulla: 11.8%","Human ANC: 7.4%, Human SN-RN: 5.7%, Human Pul: 5.7%"
20,VSMC,,AGT NAMPT UBL,"MYL9, CARMN, ADIRF, FHL5, ACTA2, VIM, TBX18, MUSTN1, TBX2, NOTCH3","Thalamus: 21.8%, Cerebral cortex: 13.7%, Medulla: 12.4%","Human MN: 10.5%, Human IO: 7.0%, Human Pul: 4.0%"
21,PER,,AGT IGF UBL,"IFITM2, CARMN, MUSTN1, NOTCH3, GGT5, IFITM3, SLC6A12, MYL9, BGN, ITIH5","Thalamus: 28.3%, Pons: 17.9%, Basal forebrain: 9.8%","Human LG: 8.0%, Human Pul: 7.0%, Human PnEN: 6.7%"
22,PER,,IGF,"CARMN, NOTCH3, SLC6A12, ITIH5, GGT5, SLC12A7, IFITM2, LINC02147, CYSLTR2, BGN","Thalamus: 34.2%, Cerebral cortex: 15.9%, Basal forebrain: 10.2%","Human CBV: 6.7%, Human CM: 5.4%, Human LP: 5.3%"
23,,,IGF,"ITIH5, SLC6A12, SLC6A13, ATP1A2, DCN, PRELP, COLEC12, IFITM2, MUSTN1, TFPI","Thalamus: 48.8%, Cerebral cortex: 25.0%, Basal forebrain: 10.7%","Human Pul: 31.0%, Human STG: 7.1%, Human LP: 6.0%"
24,FIB,PIA PVF,IGF NAMPT,"C7, CFH, IGF2, COL1A2, LINC02126, MGP, COL3A1, TBX18, FBLN1, TTR","Basal forebrain: 38.0%, Medulla: 32.3%, Hippocampus: 25.1%","Human SEP: 38.0%, Human MoAN: 17.6%, Human CA1R-CA2R-CA3R: 16.8%"
25,FIB,PIA,EDN IGF,"COL1A2, TBX18, CFH, IGF2, COL3A1, ITIH5, FLVCR2, FMO2, LINC02147, BMP5","Thalamus: 22.3%, Cerebral cortex: 20.0%, Pons: 15.0%","Human MN: 8.3%, Human A35r: 8.2%, Human CM-Pf: 6.6%"
26,FIB,PIA,EDN IGF,"COL1A2, TBX18, FMO2, IGF2, ITIH5, C7, FBLN1, FLVCR2, SLC6A20, COL15A1","Thalamus: 20.7%, Basal forebrain: 15.4%, Pons: 13.1%","Human SEP: 6.0%, Human CBV: 5.7%, Human SN: 4.6%"
27,FIB,PIA,EDN IGF,"TBX18, COL1A2, FMO2, ITIH5, LINC02147, COL15A1, FLVCR2, COLEC12, C7, LINC02058","Thalamus: 34.3%, Cerebral cortex: 15.0%, Pons: 13.3%","Human CM-Pf: 8.7%, Human LG: 4.4%, Human VLN: 4.3%"
28,FIB,PIA,EDN IGF,"COL1A2, TBX18, C7, ITIH5, IGF2, FMO2, ISLR, LINC02147, FBLN1, DCN","Thalamus: 36.4%, Cerebral cortex: 12.1%, Pons: 11.0%","Human LG: 7.9%, Human Pul: 6.0%, Human LP: 4.6%"
29,,,IGF NAMPT,"IGFBP6, VIM, BNC2, FLVCR2, IGF2, COL1A2, CFH, EBF2, CD177, KLF2","Medulla: 41.3%, Spinal cord: 39.7%, Thalamus: 4.8%","Human SpC: 39.7%, Human IO: 25.4%, Human MoRF-MoEN: 7.9%"
30,CHRP,ARACH,IGF,"CFH, SLC6A20, COL1A2, KDR, VIM, SLC5A5, COL3A1, SLC6A13, SLC16A12, SLC6A12","Cerebral cortex: 35.3%, Basal forebrain: 29.7%, Medulla: 10.6%","Human SEP: 29.0%, Human A35r: 21.2%, Human MN: 6.4%"
31,CHRP,ABC PIA,IGF NAMPT NUCB,"PTGDR, BNC2, BMP5, FOXC1, COL3A1, COL1A2, SLPI, SFRP2, SPTLC3, TBX15","Basal forebrain: 47.3%, Medulla: 20.3%, Hypothalamus: 12.4%","Human SEP: 47.2%, Human MN: 11.8%, Human MoAN: 8.8%"
32,OPC,,NUCB NXPH SCG proSAAS,"MROH9, VCAN-AS1, FMO6P, FMO3, BX284613.2, AL512308.1, LHFPL3-AS1, Z94057.1, AC004852.2, LINC00402","Hypothalamus: 54.7%, Thalamus: 16.6%, Amygdala: 8.5%","Human MN: 54.6%, Human CM-Pf: 12.1%, Human CEN: 8.3%"
33,OPC,,NXPH proSAAS,"BX284613.2, MROH9, FMO6P, PDGFRA, VCAN, FERMT1, AL512308.1, OLIG2, AC004852.2, COL9A1","Pons: 23.8%, Midbrain: 22.9%, Thalamus: 19.2%","Human PnRF: 8.4%, Human CBV: 7.8%, Human SN-RN: 7.8%"
34,OPC,,NXPH proSAAS,"AC004852.2, AL512308.1, PDGFRA, BX284613.2, GPR17, VCAN, CSPG4, AC117464.1, OLIG2, FERMT1","Hippocampus: 33.6%, Cerebral cortex: 30.9%, Amygdala: 16.5%","Human CA1: 11.7%, Human CEN: 8.5%, Human A35r: 6.4%"
35,OPC,,NXPH proSAAS,"AC004852.2, PDGFRA, GPNMB, GPR17, AL512308.1, OLIG2, COL20A1, CSPG4, OLIG1, AC117464.1","Cerebral cortex: 62.3%, Hippocampus: 21.4%, Basal forebrain: 6.5%","Human A35r: 17.0%, Human Sub: 9.1%, Human MTG: 8.0%"
36,OPC,,NXPH proSAAS,"AC004852.2, BX284613.2, PDGFRA, AL512308.1, VCAN, OLIG2, OLIG1, GPR17, CSPG4, FERMT1","Cerebral cortex: 33.7%, Thalamus: 12.5%, Midbrain: 11.5%","Human A35r: 20.8%, Human SpC: 8.0%, Human SN: 5.4%"
37,OLIGO,COP,NXPH proSAAS,"GPR17, AL512308.1, TNS3, BCAS1, MIR503HG, AC008080.4, NKX2-2, GPNMB, INAVA, FIBIN","Cerebral cortex: 35.6%, Hippocampus: 19.5%, Amygdala: 8.2%","Human A35r: 6.3%, Human CA1: 4.8%, Human MTG: 4.5%"
38,OLIGO,COP,NXPH proSAAS,"GPR17, AC008080.4, FRG2DP, AL512308.1, MDFI, LINC01447, TNS3, BCAS1, ADAM33, MIR503HG","Hippocampus: 29.9%, Cerebral cortex: 29.5%, Pons: 7.8%","Human CA1: 8.9%, Human A35r: 6.5%, Human PnEN: 5.6%"
39,OLIGO,COP,,"AC008080.4, GPR17, AC020909.2, APCDD1, ACAN, DCT, AC022433.1, KANK2, FRG2DP, DOCK6","Cerebral cortex: 28.1%, Hippocampus: 19.7%, Amygdala: 14.6%","Human CA1: 7.3%, Human A35r: 5.6%, Human Pir: 3.9%"
40,OLIGO,,,"OPALIN, CD9, AC020909.2, MAL, LINC00639, AC110285.1, PLLP, LINC01170, MAG, SLCO1A2","Hippocampus: 24.8%, Cerebral cortex: 23.4%, Amygdala: 10.0%","Human CA4C-DGC: 4.7%, Human DGR-CA4Rpy: 4.6%, Human CA1: 4.3%"
41,OLIGO,,,"OPALIN, LINC01608, CD22, CDH1, FA2H, LINC01099, LINC01792, MYRF, LINC00639, AC110285.1","Amygdala: 24.7%, Hypothalamus: 23.3%, Basal forebrain: 20.2%","Human HTHso: 18.1%, Human La: 17.3%, Human GPe: 16.1%"
42,OLIGO,,,"CNDP1, LINC01608, GREM1, OPALIN, FA2H, AC110285.1, MYRF, CD22, LINC01792, LINC00906","Thalamus: 92.7%, Midbrain: 2.3%, Pons: 1.5%","Human VLN: 69.8%, Human ANC: 6.2%, Human LG: 5.0%"
43,OLIGO,,NXPH,"SLC5A11, FA2H, AL033523.1, CD22, AC012494.1, MOBP, MYRF, SH3TC2-DT, PRR5L, CNDP1","Thalamus: 36.2%, Hypothalamus: 18.0%, Amygdala: 10.3%","Human VLN: 24.5%, Human HTHso: 11.5%, Human La: 6.0%"
44,OLIGO,,UBL,"AC004690.2, SLC5A11, ITGA2, AL033523.1, LINC02882, MOG, FOLH1, CARNS1, LINC01949, LRP2","Thalamus: 20.9%, Pons: 19.2%, Midbrain: 19.1%","Human SN: 10.9%, Human PnRF: 6.9%, Human CbDN: 5.8%"
45,OLIGO,,,"LINC01608, OPALIN, LINC01792, SLCO1A2, LINC02882, FOLH1, MAL, ASPA, AC108721.2, SH3TC2","Cerebral cortex: 20.0%, Basal forebrain: 18.5%, Midbrain: 15.8%","Human GPe: 8.4%, Human SN: 7.4%, Human SN-RN: 4.8%"
46,OLIGO,,,"CNDP1, LINC01608, OPALIN, RNASE1, LINC01792, NKX6-2, MAG, PPP1R14A, CD9, TMEM98","Thalamus: 22.7%, Midbrain: 19.9%, Cerebral cortex: 13.7%","Human SN-RN: 9.7%, Human SN: 6.7%, Human CbDN: 5.9%"
47,OLIGO,,,"OPALIN, LINC01608, CD9, LINC01792, RNASE1, CNDP1, AC110285.1, PLLP, NKX6-2, MAG","Thalamus: 24.9%, Cerebral cortex: 20.9%, Hippocampus: 13.8%","Human GPe: 5.4%, Human STH: 4.8%, Human MTG: 4.2%"
